Status,Name,Adv,Date,Key,Contents
Hurricane,Danielle,30,1998-08-31T21:00:00Z,NA,NA
Hurricane,Danielle,31,1998-09-01T03:00:00Z,NA,NA
Hurricane,Danielle,32,1998-09-01T09:00:00Z,NA,NA
Hurricane,Danielle,33,1998-09-01T15:00:00Z,NA,NA
Hurricane,Danielle,33A,1998-09-01T18:00:00Z,NA,NA
Hurricane,Danielle,34,1998-09-01T21:00:00Z,NA,NA
Hurricane,Danielle,34A,1998-09-02T00:00:00Z,NA,NA
Hurricane,Danielle,35,1998-09-02T03:00:00Z,NA,NA
Hurricane,Danielle,35A,1998-09-02T06:00:00Z,NA,NA
Hurricane,Danielle,37,1998-09-02T15:00:00Z,NA,NA
Hurricane,Danielle,37A,1998-09-02T18:00:00Z,NA,NA
Hurricane,Danielle,38,1998-09-02T21:00:00Z,NA,NA
Hurricane,Danielle,39,1998-09-03T03:00:00Z,NA,NA
Hurricane,Danielle,40,1998-09-03T09:00:00Z,NA,NA
Hurricane,Danielle,41,1998-09-03T15:00:00Z,NA,NA
Hurricane,Danielle,42,1998-09-03T21:00:00Z,NA,NA
Tropical Storm,Earl,1,1998-08-31T21:00:00Z,NA,NA
Tropical Storm,Earl,2,1998-09-01T03:00:00Z,NA,NA
Tropical Storm,Earl,3,1998-09-01T09:00:00Z,NA,NA
Tropical Storm,Earl,4,1998-09-01T15:00:00Z,NA,NA
Tropical Storm,Earl,5,1998-09-01T21:00:00Z,NA,NA
Tropical Storm,Earl,5A,1998-09-02T00:00:00Z,NA,NA
Tropical Storm,Earl,6,1998-09-02T03:00:00Z,NA,NA
Tropical Storm,Earl,6A,1998-09-02T06:00:00Z,NA,NA
Tropical Storm,Earl,7,1998-09-02T09:00:00Z,NA,NA
Tropical Storm,Earl,7A,1998-09-02T12:00:00Z,NA,NA
Tropical Storm,Earl,8,1998-09-02T13:00:00Z,NA,NA
Hurricane,Earl,9,1998-09-02T15:00:00Z,NA,NA
Hurricane,Earl,9A,1998-09-02T18:00:00Z,NA,NA
Hurricane,Earl,10,1998-09-02T21:00:00Z,NA,NA
Hurricane,Earl,10A,1998-09-03T00:00:00Z,NA,NA
Hurricane,Earl,11,1998-09-03T03:00:00Z,NA,NA
Hurricane,Earl,11A,1998-09-03T06:00:00Z,NA,NA
Hurricane,Earl,12,1998-09-03T09:00:00Z,NA,NA
Hurricane,Earl,12A,1998-09-03T12:00:00Z,NA,NA
Tropical Storm,Earl,13,1998-09-03T15:00:00Z,NA,NA
Tropical Depression,Six,1,1998-09-08T21:00:00Z,NA,NA
Tropical Depression,Six,1A,1998-09-09T00:00:00Z,NA,NA
Tropical Depression,Six,2,1998-09-09T03:00:00Z,NA,NA
Tropical Depression,Six,2A,1998-09-09T06:00:00Z,NA,NA
Tropical Depression,Six,3,1998-09-09T09:00:00Z,NA,NA
Tropical Depression,Six,3A,1998-09-09T12:00:00Z,NA,NA
Tropical Depression,Six,4,1998-09-09T15:00:00Z,NA,NA
Tropical Depression,Six,4A,1998-09-09T18:00:00Z,NA,NA
Tropical Storm,Frances,5,1998-09-09T21:00:00Z,NA,NA
Tropical Storm,Frances,5A,1998-09-10T00:00:00Z,NA,NA
Tropical Storm,Frances,6,1998-09-10T03:00:00Z,NA,NA
Tropical Storm,Frances,6A,1998-09-10T06:00:00Z,NA,NA
Tropical Storm,Frances,7,1998-09-10T09:00:00Z,NA,NA
Tropical Storm,Frances,7A,1998-09-10T12:00:00Z,NA,NA
Tropical Storm,Frances,8,1998-09-10T15:00:00Z,NA,NA
Tropical Storm,Frances,8,1998-09-10T18:00:00Z,NA,NA
Tropical Storm,Frances,9,1998-09-10T21:00:00Z,NA,NA
Tropical Storm,Frances,9A,1998-09-11T00:00:00Z,NA,NA
Tropical Storm,Frances,10,1998-09-11T03:00:00Z,NA,NA
Tropical Storm,Frances,10A,1998-09-11T06:00:00Z,NA,NA
Tropical Storm,Frances,11,1998-09-11T09:00:00Z,NA,NA
Tropical Storm,Frances,11A,1998-09-11T12:00:00Z,NA,NA
Tropical Storm,Frances,12,1998-09-11T15:00:00Z,NA,NA
Tropical Storm,Frances,12A,1998-09-11T18:00:00Z,NA,NA
Tropical Storm,Frances,13,1998-09-11T21:00:00Z,NA,NA
Tropical Depression,Frances,13A,1998-09-12T00:00:00Z,NA,NA
Tropical Depression,Frances,14,1998-09-12T03:00:00Z,NA,NA
Tropical Depression,Seven,1,1998-09-15T15:00:00Z,NA,NA
Tropical Depression,Seven,3,1998-09-16T03:00:00Z,NA,NA
Tropical Depression,Seven,4,1998-09-16T09:00:00Z,NA,NA
Tropical Storm,Georges,5,1998-09-16T15:00:00Z,NA,NA
Tropical Storm,Georges,6,1998-09-16T21:00:00Z,NA,NA
Tropical Storm,Georges,7,1998-09-17T03:00:00Z,NA,NA
Tropical Storm,Georges,8,1998-09-17T09:00:00Z,NA,NA
Tropical Storm,Georges,9,1998-09-17T15:00:00Z,NA,NA
