Key,Adv,Date,WindField,NE,SE,SW,NW
AL141998,5,1998-11-25T09:00:00Z,34,125,50,50,125
AL141998,5,1998-11-25T09:00:00Z,50,75,25,25,75
AL141998,6,1998-11-25T15:00:00Z,34,150,50,50,150
AL141998,6,1998-11-25T15:00:00Z,50,75,25,25,75
AL141998,7,1998-11-25T21:00:00Z,34,175,50,50,175
AL141998,8,1998-11-26T03:00:00Z,34,175,50,50,175
AL141998,12,1998-11-27T21:00:00Z,34,90,90,30,90
AL141998,13,1998-11-28T03:00:00Z,34,75,150,50,75
AL141998,14,1998-11-28T09:00:00Z,34,75,150,50,75
AL141998,14,1998-11-28T09:00:00Z,50,50,100,25,50
AL141998,15,1998-11-28T15:00:00Z,34,75,150,50,75
AL141998,15,1998-11-28T15:00:00Z,50,50,100,25,50
AL141998,16,1998-11-28T21:00:00Z,34,75,150,50,75
AL141998,16,1998-11-28T21:00:00Z,50,50,100,25,50
AL141998,17,1998-11-29T03:00:00Z,34,75,150,50,75
AL141998,18,1998-11-29T09:00:00Z,34,75,150,50,50
AL141998,19,1998-11-29T15:00:00Z,34,75,150,50,50
AL141998,20,1998-11-29T21:00:00Z,34,75,150,75,75
AL141998,20,1998-11-29T21:00:00Z,50,50,100,50,50
AL141998,21,1998-11-30T03:00:00Z,34,75,150,75,75
AL141998,21,1998-11-30T03:00:00Z,50,50,100,50,50
AL141998,21,1998-11-30T03:00:00Z,64,30,30,30,0
AL141998,22,1998-11-30T09:00:00Z,34,100,150,75,75
AL141998,22,1998-11-30T09:00:00Z,50,75,100,50,50
AL141998,22,1998-11-30T09:00:00Z,64,25,25,25,25
AL141998,23,1998-11-30T15:00:00Z,34,120,200,75,75
AL141998,23,1998-11-30T15:00:00Z,50,75,100,50,50
AL141998,23,1998-11-30T15:00:00Z,64,25,25,25,25
AL141999,3,1999-10-18T09:00:00Z,34,45,0,0,45
AL141999,4,1999-10-18T15:00:00Z,34,50,0,0,50
AL141999,5,1999-10-18T21:00:00Z,34,45,45,45,0
AL141999,6,1999-10-19T03:00:00Z,34,45,45,45,45
AL141999,7,1999-10-19T09:00:00Z,34,50,50,50,50
AL141999,7,1999-10-19T09:00:00Z,50,25,25,25,25
AL141999,8,1999-10-19T15:00:00Z,34,100,100,30,75
AL141999,8,1999-10-19T15:00:00Z,50,40,20,0,40
AL141999,8,1999-10-19T15:00:00Z,64,20,0,0,0
AL141999,9,1999-10-19T21:00:00Z,34,100,100,30,75
AL141999,9,1999-10-19T21:00:00Z,50,40,20,0,40
AL141999,9,1999-10-19T21:00:00Z,64,20,0,0,0
AL141999,10,1999-10-20T03:00:00Z,34,100,100,30,75
AL141999,10,1999-10-20T03:00:00Z,50,40,40,0,30
AL141999,10,1999-10-20T03:00:00Z,64,20,0,0,0
AL141999,11,1999-10-20T09:00:00Z,34,100,100,30,75
AL141999,11,1999-10-20T09:00:00Z,50,50,50,20,30
AL141999,11,1999-10-20T09:00:00Z,64,30,20,0,0
AL141999,12,1999-10-20T15:00:00Z,34,100,100,30,75
AL141999,12,1999-10-20T15:00:00Z,50,50,50,20,30
AL141999,12,1999-10-20T15:00:00Z,64,30,20,0,0
AL141999,13,1999-10-20T21:00:00Z,34,120,100,30,75
AL141999,13,1999-10-20T21:00:00Z,50,50,50,20,20
AL141999,13,1999-10-20T21:00:00Z,64,30,30,0,0
AL141999,14,1999-10-21T03:00:00Z,34,120,100,30,75
AL141999,14,1999-10-21T03:00:00Z,50,50,50,20,20
AL141999,14,1999-10-21T03:00:00Z,64,30,30,0,0
AL141999,15,1999-10-21T09:00:00Z,34,120,100,30,75
AL141999,15,1999-10-21T09:00:00Z,50,90,0,0,0
AL141999,15,1999-10-21T09:00:00Z,64,30,0,0,0
AL141999,16,1999-10-21T15:00:00Z,34,120,100,20,75
AL141999,16,1999-10-21T15:00:00Z,50,90,0,0,0
AL141999,17,1999-10-21T21:00:00Z,34,120,75,20,75
AL141999,17,1999-10-21T21:00:00Z,50,90,0,0,0
AL141999,18,1999-10-22T03:00:00Z,34,120,75,20,75
AL141999,18,1999-10-22T03:00:00Z,50,90,0,0,0
AL141999,19,1999-10-22T09:00:00Z,34,125,75,0,100
AL141999,19,1999-10-22T09:00:00Z,50,90,0,0,0
AL141999,20,1999-10-22T15:00:00Z,34,125,75,0,100
AL141999,20,1999-10-22T15:00:00Z,50,90,0,0,0
AL141999,21,1999-10-22T21:00:00Z,34,125,75,0,100
AL141999,21,1999-10-22T21:00:00Z,50,90,0,0,0
AL141999,22,1999-10-23T03:00:00Z,34,125,125,0,0
AL141999,22,1999-10-23T03:00:00Z,50,75,0,0,0
AL141999,23,1999-10-23T09:00:00Z,34,125,125,0,0
AL141999,23,1999-10-23T09:00:00Z,50,75,0,0,0
AL141999,24,1999-10-23T15:00:00Z,34,125,125,0,0
AL141999,24,1999-10-23T15:00:00Z,50,75,0,0,0
AL141999,25,1999-10-23T21:00:00Z,34,150,150,0,0
AL141999,25,1999-10-23T21:00:00Z,50,50,50,0,0
AL141999,26,1999-10-24T03:00:00Z,34,150,150,0,0
AL141999,26,1999-10-24T03:00:00Z,50,50,50,0,0
AL141999,27,1999-10-24T09:00:00Z,34,150,150,0,0
AL141999,27,1999-10-24T09:00:00Z,50,75,75,0,0
AL141999,28,1999-10-24T15:00:00Z,34,175,150,25,25
AL141999,28,1999-10-24T15:00:00Z,50,75,75,0,0
AL141999,28,1999-10-24T15:00:00Z,64,30,30,0,0
AL141999,29,1999-10-24T21:00:00Z,34,175,150,25,25
AL141999,29,1999-10-24T21:00:00Z,50,75,75,0,0
AL141999,29,1999-10-24T21:00:00Z,64,30,30,0,0
AL141999,30,1999-10-25T03:00:00Z,34,175,150,25,25
AL141999,30,1999-10-25T03:00:00Z,50,75,75,0,0
AL141999,31,1999-10-25T09:00:00Z,34,175,150,25,25
AL141999,31,1999-10-25T09:00:00Z,50,75,75,0,0
AL142000,2,2000-09-26T03:00:00Z,34,45,30,30,45
AL142000,3,2000-09-26T09:00:00Z,34,30,0,0,30
AL142000,4,2000-09-26T15:00:00Z,34,30,30,30,30
AL142000,5,2000-09-26T21:00:00Z,34,30,30,30,30
AL142000,6,2000-09-27T03:00:00Z,34,50,35,35,50
AL142000,6,2000-09-27T03:00:00Z,50,15,15,15,15
AL142000,7,2000-09-27T09:00:00Z,34,50,35,35,50
AL142000,7,2000-09-27T09:00:00Z,50,20,0,0,20
AL142000,8,2000-09-27T15:00:00Z,34,60,45,45,60
AL142000,8,2000-09-27T15:00:00Z,50,40,30,30,40
AL142000,8,2000-09-27T15:00:00Z,64,20,20,20,20
AL142000,9,2000-09-27T21:00:00Z,34,90,60,60,90
AL142000,9,2000-09-27T21:00:00Z,50,40,40,40,40
AL142000,9,2000-09-27T21:00:00Z,64,25,25,25,25
AL142000,10,2000-09-28T03:00:00Z,34,90,60,60,90
AL142000,10,2000-09-28T03:00:00Z,50,40,40,40,40
AL142000,10,2000-09-28T03:00:00Z,64,25,25,25,25
AL142000,11,2000-09-28T09:00:00Z,34,90,60,60,90
AL142000,11,2000-09-28T09:00:00Z,50,40,40,40,40
AL142000,11,2000-09-28T09:00:00Z,64,25,25,25,25
AL142000,12,2000-09-28T15:00:00Z,34,90,60,60,90
AL142000,12,2000-09-28T15:00:00Z,50,40,40,40,40
AL142000,12,2000-09-28T15:00:00Z,64,25,25,25,25
AL142000,13,2000-09-28T21:00:00Z,34,90,60,60,90
AL142000,13,2000-09-28T21:00:00Z,50,40,40,40,40
AL142000,13,2000-09-28T21:00:00Z,64,25,25,25,25
AL142000,14,2000-09-29T03:00:00Z,34,90,60,60,90
AL142000,14,2000-09-29T03:00:00Z,50,40,40,40,40
AL142000,14,2000-09-29T03:00:00Z,64,25,25,25,25
AL142000,15,2000-09-29T09:00:00Z,34,90,60,60,90
AL142000,15,2000-09-29T09:00:00Z,50,40,40,40,40
AL142000,15,2000-09-29T09:00:00Z,64,25,25,25,25
AL142000,16,2000-09-29T15:00:00Z,34,75,60,60,60
AL142000,16,2000-09-29T15:00:00Z,50,30,30,30,30
AL142000,17,2000-09-29T21:00:00Z,34,75,50,50,75
AL142000,17,2000-09-29T21:00:00Z,50,30,30,30,30
AL142000,18,2000-09-30T03:00:00Z,34,60,60,40,40
AL142000,19,2000-09-30T09:00:00Z,34,60,60,60,60
AL142000,19,2000-09-30T09:00:00Z,50,0,20,20,0
AL142000,20,2000-09-30T15:00:00Z,34,50,50,50,50
AL142000,21,2000-09-30T21:00:00Z,34,50,50,50,50
AL142000,22,2000-10-01T03:00:00Z,34,50,50,50,50
AL142000,23,2000-10-01T09:00:00Z,34,50,50,0,0
AL142000,24,2000-10-01T15:00:00Z,34,50,50,0,0
AL142001,11,2001-10-30T03:00:00Z,34,60,100,0,0
AL142001,12,2001-10-30T09:00:00Z,34,75,100,0,50
AL142001,13,2001-10-30T15:00:00Z,34,75,100,0,50
AL142001,14,2001-10-30T21:00:00Z,34,125,125,25,75
AL142001,15,2001-10-31T03:00:00Z,34,125,125,25,75
AL142001,16,2001-10-31T09:00:00Z,34,125,125,0,0
AL142004,1,2004-10-08T21:00:00Z,34,150,100,0,0
AL142004,2,2004-10-09T03:00:00Z,34,150,100,0,0
AL142004,3,2004-10-09T09:00:00Z,34,100,100,0,0
AL142004,5,2004-10-09T21:00:00Z,34,120,100,0,0
AL142004,6,2004-10-10T03:00:00Z,34,120,120,0,0
AL142004,7,2004-10-10T09:00:00Z,34,100,100,0,0
AL142005,5,2005-09-02T15:00:00Z,34,60,0,0,30
AL142005,6,2005-09-02T21:00:00Z,34,60,0,0,60
AL142005,7,2005-09-03T03:00:00Z,34,60,30,30,60
AL142005,8,2005-09-03T09:00:00Z,34,60,30,30,60
AL142005,9,2005-09-03T15:00:00Z,34,100,30,0,60
AL142005,9,2005-09-03T15:00:00Z,50,25,0,0,0
AL142005,10,2005-09-03T21:00:00Z,34,100,60,20,60
AL142005,10,2005-09-03T21:00:00Z,50,25,0,0,0
AL142005,11,2005-09-04T03:00:00Z,34,100,60,30,60
AL142005,11,2005-09-04T03:00:00Z,50,25,25,0,0
AL142005,12,2005-09-04T09:00:00Z,34,100,60,30,60
AL142005,12,2005-09-04T09:00:00Z,50,25,25,20,20
AL142005,12,2005-09-04T09:00:00Z,64,10,10,10,10
AL142005,13,2005-09-04T15:00:00Z,34,100,75,40,75
AL142005,13,2005-09-04T15:00:00Z,50,30,30,20,30
AL142005,13,2005-09-04T15:00:00Z,64,15,15,10,15
AL142005,14,2005-09-04T21:00:00Z,34,100,75,40,75
AL142005,14,2005-09-04T21:00:00Z,50,30,30,20,30
AL142005,14,2005-09-04T21:00:00Z,64,15,15,10,15
AL142005,15,2005-09-05T03:00:00Z,34,100,75,40,75
AL142005,15,2005-09-05T03:00:00Z,50,30,30,20,30
AL142005,15,2005-09-05T03:00:00Z,64,15,15,10,15
AL142005,16,2005-09-05T09:00:00Z,34,100,80,50,75
AL142005,16,2005-09-05T09:00:00Z,50,30,30,25,30
AL142005,16,2005-09-05T09:00:00Z,64,15,15,15,15
AL142005,17,2005-09-05T15:00:00Z,34,100,100,60,80
AL142005,17,2005-09-05T15:00:00Z,50,50,50,30,40
AL142005,17,2005-09-05T15:00:00Z,64,20,20,20,20
AL142005,18,2005-09-05T21:00:00Z,34,100,100,60,80
AL142005,18,2005-09-05T21:00:00Z,50,50,50,30,40
AL142005,18,2005-09-05T21:00:00Z,64,20,20,20,20
AL142005,19,2005-09-06T03:00:00Z,34,100,100,60,80
AL142005,19,2005-09-06T03:00:00Z,50,50,50,30,40
AL142005,19,2005-09-06T03:00:00Z,64,20,20,20,20
AL142005,20,2005-09-06T09:00:00Z,34,100,100,60,80
AL142005,20,2005-09-06T09:00:00Z,50,50,50,30,40
AL142005,20,2005-09-06T09:00:00Z,64,20,20,15,15
AL142005,21,2005-09-06T15:00:00Z,34,120,120,60,80
AL142005,21,2005-09-06T15:00:00Z,50,75,75,30,40
AL142005,21,2005-09-06T15:00:00Z,64,20,20,15,15
AL142005,22,2005-09-06T21:00:00Z,34,120,120,60,80
AL142005,22,2005-09-06T21:00:00Z,50,75,75,30,40
AL142005,22,2005-09-06T21:00:00Z,64,20,20,15,15
AL142005,23,2005-09-07T03:00:00Z,34,120,120,60,80
AL142005,23,2005-09-07T03:00:00Z,50,75,75,30,40
AL142005,24,2005-09-07T09:00:00Z,34,140,140,70,80
AL142005,24,2005-09-07T09:00:00Z,50,75,75,40,40
AL142005,25,2005-09-07T15:00:00Z,34,150,175,150,200
AL142005,25,2005-09-07T15:00:00Z,50,100,120,100,125
AL142005,25,2005-09-07T15:00:00Z,64,45,75,60,75
AL142005,26,2005-09-07T21:00:00Z,34,150,175,150,200
AL142005,26,2005-09-07T21:00:00Z,50,100,120,100,125
AL142005,26,2005-09-07T21:00:00Z,64,45,75,60,75
AL142005,27,2005-09-08T03:00:00Z,34,175,200,175,175
AL142005,27,2005-09-08T03:00:00Z,50,100,120,100,100
AL142005,27,2005-09-08T03:00:00Z,64,45,75,60,60
AL142005,28,2005-09-08T09:00:00Z,34,175,200,175,175
AL142005,28,2005-09-08T09:00:00Z,50,100,120,100,100
AL142005,28,2005-09-08T09:00:00Z,64,45,75,60,60
AL142005,29,2005-09-08T15:00:00Z,34,200,225,175,175
AL142005,29,2005-09-08T15:00:00Z,50,100,120,100,90
AL142005,29,2005-09-08T15:00:00Z,64,0,75,0,0
AL142005,30,2005-09-08T21:00:00Z,34,200,225,175,175
AL142005,30,2005-09-08T21:00:00Z,50,100,120,100,90
AL142005,30,2005-09-08T21:00:00Z,64,0,75,0,0
AL142005,31,2005-09-09T03:00:00Z,34,200,225,175,175
AL142005,31,2005-09-09T03:00:00Z,50,100,120,100,90
AL142005,32,2005-09-09T09:00:00Z,34,225,250,280,225
AL142005,32,2005-09-09T09:00:00Z,50,120,150,120,90
AL142005,33,2005-09-09T15:00:00Z,34,150,200,200,100
AL142005,33,2005-09-09T15:00:00Z,50,75,120,120,45
AL142005,34,2005-09-09T21:00:00Z,34,150,200,200,100
AL142005,34,2005-09-09T21:00:00Z,50,75,120,120,45
AL142005,35,2005-09-10T03:00:00Z,34,150,200,200,100
AL142005,35,2005-09-10T03:00:00Z,50,75,120,120,45
AL142005,36,2005-09-10T09:00:00Z,34,150,200,200,150
AL142005,36,2005-09-10T09:00:00Z,50,75,120,120,75
AL142007,4,2007-09-29T09:00:00Z,34,60,60,30,60
AL142007,5,2007-09-29T15:00:00Z,34,60,60,30,60
AL142007,6,2007-09-29T21:00:00Z,34,60,60,30,60
AL142007,7,2007-09-30T03:00:00Z,34,60,60,30,60
AL142007,8,2007-09-30T09:00:00Z,34,60,60,0,0
AL142008,1,2008-10-12T21:00:00Z,34,75,75,0,0
AL142008,2,2008-10-13T03:00:00Z,34,75,75,0,0
AL142008,3,2008-10-13T09:00:00Z,34,100,75,0,0
AL142010,2,2010-09-21T09:00:00Z,34,35,35,0,20
AL142010,3,2010-09-21T15:00:00Z,34,35,35,25,25
AL142010,4,2010-09-21T21:00:00Z,34,35,35,35,35
AL142010,5,2010-09-22T03:00:00Z,34,40,40,40,40
AL142010,6,2010-09-22T09:00:00Z,34,40,40,40,40
AL142010,7,2010-09-22T15:00:00Z,34,40,40,40,40
AL142010,8,2010-09-22T21:00:00Z,34,45,45,45,45
AL142010,9,2010-09-23T03:00:00Z,34,45,45,45,45
AL142010,12,2010-09-23T21:00:00Z,34,30,30,30,30
AL142010,13,2010-09-24T03:00:00Z,34,30,30,30,30
AL142010,14,2010-09-24T09:00:00Z,34,30,30,20,30
AL142010,15,2010-09-24T15:00:00Z,34,35,35,25,35
AL142010,16,2010-09-24T21:00:00Z,34,40,40,30,40
AL142010,16,2010-09-24T21:00:00Z,50,15,15,10,15
AL142010,17,2010-09-24T23:00:00Z,34,40,40,30,40
AL142010,17,2010-09-24T23:00:00Z,50,15,15,10,15
AL142010,17,2010-09-24T23:00:00Z,64,10,10,0,0
AL142010,18,2010-09-25T03:00:00Z,34,50,40,30,40
AL142010,18,2010-09-25T03:00:00Z,50,20,15,10,15
AL142010,18,2010-09-25T03:00:00Z,64,10,10,0,10
AL142010,19,2010-09-25T09:00:00Z,34,50,40,30,40
AL142010,19,2010-09-25T09:00:00Z,50,20,15,10,15
AL142010,19,2010-09-25T09:00:00Z,64,10,10,0,10
AL142010,20,2010-09-25T15:00:00Z,34,50,40,30,40
AL142010,20,2010-09-25T15:00:00Z,50,25,20,15,20
AL142010,21,2010-09-25T21:00:00Z,34,50,40,30,40
AL142010,22,2010-09-26T03:00:00Z,34,50,40,30,40
AL142011,4,2011-09-07T15:00:00Z,34,40,0,0,40
AL142011,5,2011-09-07T21:00:00Z,34,40,0,0,40
AL142011,6,2011-09-08T03:00:00Z,34,75,0,0,75
AL142011,7,2011-09-08T09:00:00Z,34,100,0,0,100
AL142011,8,2011-09-08T15:00:00Z,34,100,0,0,75
AL142011,9,2011-09-08T21:00:00Z,34,150,0,0,100
AL142011,10,2011-09-09T03:00:00Z,34,150,0,0,100
AL142011,11,2011-09-09T09:00:00Z,34,150,0,0,100
AL142011,12,2011-09-09T15:00:00Z,34,150,0,0,100
AL142011,13,2011-09-09T21:00:00Z,34,150,0,0,100
AL142011,14,2011-09-10T03:00:00Z,34,150,0,0,100
AL142011,15,2011-09-10T09:00:00Z,34,150,0,0,100
AL142011,16,2011-09-10T15:00:00Z,34,175,0,0,0
AL142011,17,2011-09-10T21:00:00Z,34,175,0,0,0
AL142011,18,2011-09-11T03:00:00Z,34,175,0,0,75
AL142011,NA,2011-09-11T09:00:00Z,34,175,0,0,75
AL142011,NA,2011-09-11T09:00:00Z,50,90,0,0,0
AL142011,20,2011-09-11T15:00:00Z,34,175,0,0,90
AL142011,20,2011-09-11T15:00:00Z,50,90,0,0,0
AL142011,21,2011-09-11T21:00:00Z,34,175,100,0,90
AL142011,21,2011-09-11T21:00:00Z,50,100,0,0,0
AL142011,22,2011-09-12T03:00:00Z,34,175,100,0,90
AL142011,22,2011-09-12T03:00:00Z,50,100,0,0,0
AL142011,23,2011-09-12T09:00:00Z,34,175,100,0,90
AL142011,23,2011-09-12T09:00:00Z,50,100,0,0,0
AL142011,24,2011-09-12T15:00:00Z,34,175,100,0,60
AL142011,25,2011-09-12T21:00:00Z,34,175,175,0,60
AL142011,26,2011-09-13T03:00:00Z,34,200,175,0,60
AL142011,27,2011-09-13T09:00:00Z,34,200,175,0,0
AL142011,28,2011-09-13T15:00:00Z,34,175,175,0,0
AL142011,29,2011-09-13T21:00:00Z,34,150,150,0,0
AL142011,30,2011-09-14T03:00:00Z,34,150,150,0,50
AL142011,31,2011-09-14T09:00:00Z,34,150,150,0,50
AL142011,31,2011-09-14T09:00:00Z,50,60,0,0,0
AL142011,32,2011-09-14T15:00:00Z,34,150,150,0,50
AL142011,32,2011-09-14T15:00:00Z,50,60,0,0,0
AL142011,33,2011-09-14T21:00:00Z,34,150,150,0,50
AL142011,33,2011-09-14T21:00:00Z,50,60,0,0,0
AL142011,34,2011-09-15T03:00:00Z,34,180,180,0,50
AL142011,34,2011-09-15T03:00:00Z,50,100,100,0,0
AL142011,35,2011-09-15T09:00:00Z,34,180,180,0,50
AL142011,35,2011-09-15T09:00:00Z,50,100,100,0,0
AL142011,36,2011-09-15T15:00:00Z,34,180,180,0,50
AL142011,36,2011-09-15T15:00:00Z,50,100,100,0,0
AL142011,37,2011-09-15T21:00:00Z,34,180,210,45,45
AL142011,37,2011-09-15T21:00:00Z,50,100,100,0,0
AL142011,37,2011-09-15T21:00:00Z,64,0,40,0,0
AL142011,38,2011-09-16T03:00:00Z,34,180,180,50,50
AL142011,38,2011-09-16T03:00:00Z,50,100,100,25,25
AL142011,38,2011-09-16T03:00:00Z,64,40,40,0,0
AL142011,39,2011-09-16T09:00:00Z,34,180,180,50,50
AL142011,39,2011-09-16T09:00:00Z,50,100,100,25,25
AL142011,39,2011-09-16T09:00:00Z,64,40,40,0,0
AL142011,40,2011-09-16T15:00:00Z,34,180,240,50,50
AL142011,40,2011-09-16T15:00:00Z,50,75,100,0,0
AL142011,40,2011-09-16T15:00:00Z,64,0,40,0,0
AL142011,41,2011-09-16T21:00:00Z,34,180,270,50,50
AL142011,41,2011-09-16T21:00:00Z,50,75,100,0,0
AL142012,3,2012-09-12T03:00:00Z,34,30,0,0,30
AL142012,4,2012-09-12T09:00:00Z,34,40,0,0,40
AL142012,5,2012-09-12T15:00:00Z,34,100,100,20,80
AL142012,5,2012-09-12T15:00:00Z,50,50,50,0,40
AL142012,6,2012-09-12T21:00:00Z,34,100,100,30,80
AL142012,6,2012-09-12T21:00:00Z,50,50,50,0,40
AL142012,7,2012-09-13T03:00:00Z,34,110,100,40,80
AL142012,7,2012-09-13T03:00:00Z,50,50,50,20,40
AL142012,8,2012-09-13T09:00:00Z,34,120,110,40,80
AL142012,8,2012-09-13T09:00:00Z,50,50,50,0,40
AL142012,9,2012-09-13T15:00:00Z,34,120,110,40,80
AL142012,9,2012-09-13T15:00:00Z,50,50,50,0,40
AL142012,10,2012-09-13T21:00:00Z,34,200,180,60,160
AL142012,10,2012-09-13T21:00:00Z,50,80,50,0,60
AL142012,11,2012-09-14T03:00:00Z,34,200,180,60,160
AL142012,11,2012-09-14T03:00:00Z,50,80,50,0,60
AL142012,12,2012-09-14T09:00:00Z,34,200,180,60,160
AL142012,12,2012-09-14T09:00:00Z,50,80,50,0,60
AL142012,13,2012-09-14T15:00:00Z,34,200,180,60,160
AL142012,13,2012-09-14T15:00:00Z,50,80,50,0,60
AL142012,14,2012-09-14T21:00:00Z,34,200,180,60,120
AL142012,14,2012-09-14T21:00:00Z,50,80,50,0,60
AL142012,15,2012-09-15T03:00:00Z,34,200,180,60,120
AL142012,15,2012-09-15T03:00:00Z,50,80,50,0,60
AL142012,15,2012-09-15T03:00:00Z,64,30,20,0,0
AL142012,16,2012-09-15T09:00:00Z,34,200,180,60,120
AL142012,16,2012-09-15T09:00:00Z,50,80,50,0,60
AL142012,16,2012-09-15T09:00:00Z,64,30,20,0,0
AL142012,17,2012-09-15T15:00:00Z,34,160,160,80,100
AL142012,17,2012-09-15T15:00:00Z,50,70,60,50,50
AL142012,17,2012-09-15T15:00:00Z,64,20,40,0,0
AL142012,18,2012-09-15T21:00:00Z,34,120,160,140,120
AL142012,18,2012-09-15T21:00:00Z,50,50,60,60,50
AL142012,18,2012-09-15T21:00:00Z,64,0,40,35,0
AL142012,19,2012-09-16T03:00:00Z,34,120,160,130,120
AL142012,19,2012-09-16T03:00:00Z,50,50,60,60,50
AL142012,19,2012-09-16T03:00:00Z,64,0,40,40,0
AL142012,20,2012-09-16T09:00:00Z,34,120,160,140,120
AL142012,20,2012-09-16T09:00:00Z,50,50,60,60,50
AL142012,20,2012-09-16T09:00:00Z,64,0,40,35,0
AL142012,21,2012-09-16T15:00:00Z,34,120,160,140,110
AL142012,21,2012-09-16T15:00:00Z,50,50,80,70,40
AL142012,21,2012-09-16T15:00:00Z,64,20,40,30,0
AL142012,22,2012-09-16T21:00:00Z,34,120,160,140,110
AL142012,22,2012-09-16T21:00:00Z,50,50,80,70,40
AL142012,22,2012-09-16T21:00:00Z,64,20,40,30,0
AL142012,23,2012-09-17T03:00:00Z,34,120,160,140,110
AL142012,23,2012-09-17T03:00:00Z,50,50,80,70,40
AL142012,24,2012-09-17T09:00:00Z,34,130,170,150,120
AL142012,24,2012-09-17T09:00:00Z,50,60,90,70,50
AL142012,25,2012-09-17T15:00:00Z,34,130,170,150,120
AL142012,25,2012-09-17T15:00:00Z,50,60,90,70,50
AL142012,26,2012-09-17T21:00:00Z,34,130,170,150,120
AL142012,26,2012-09-17T21:00:00Z,50,60,90,70,50
AL142012,27,2012-09-18T03:00:00Z,34,130,170,150,120
AL142012,27,2012-09-18T03:00:00Z,50,60,90,70,50
AL142012,28,2012-09-18T09:00:00Z,34,130,170,150,120
AL142012,28,2012-09-18T09:00:00Z,50,60,90,70,50
AL142012,29,2012-09-18T15:00:00Z,34,130,170,150,120
AL142012,29,2012-09-18T15:00:00Z,50,60,90,70,50
AL142012,30,2012-09-18T21:00:00Z,34,200,180,180,200
AL142012,30,2012-09-18T21:00:00Z,50,0,80,0,0
AL142012,31,2012-09-19T03:00:00Z,34,200,180,180,200
AL142012,32,2012-09-19T09:00:00Z,34,200,180,180,200
AL142012,33,2012-09-19T15:00:00Z,34,240,150,150,240
AL142012,34,2012-09-19T21:00:00Z,34,240,150,150,240
AL142012,35,2012-09-20T03:00:00Z,34,150,150,150,240
AL142012,36,2012-09-20T09:00:00Z,34,150,150,150,240
AL142012,37,2012-09-20T15:00:00Z,34,150,150,180,240
AL142012,38,2012-09-20T21:00:00Z,34,150,150,180,240
AL142012,39,2012-09-21T03:00:00Z,34,150,150,200,240
AL142012,39,2012-09-21T03:00:00Z,50,0,0,50,70
AL142012,40,2012-09-21T09:00:00Z,34,180,150,180,240
AL142012,40,2012-09-21T09:00:00Z,50,0,0,50,70
AL142012,41,2012-09-21T15:00:00Z,34,180,150,200,270
AL142012,41,2012-09-21T15:00:00Z,50,0,0,50,70
AL142012,42,2012-09-21T21:00:00Z,34,180,150,180,240
AL142012,42,2012-09-21T21:00:00Z,50,0,0,50,70
AL142012,43,2012-09-22T03:00:00Z,34,180,150,180,240
AL142012,43,2012-09-22T03:00:00Z,50,0,0,50,70
AL142012,44,2012-09-23T15:00:00Z,34,180,150,120,200
AL142012,44,2012-09-23T15:00:00Z,50,40,0,0,40
AL142012,45,2012-09-23T21:00:00Z,34,180,150,120,200
AL142012,45,2012-09-23T21:00:00Z,50,40,0,0,40
AL142012,46,2012-09-24T03:00:00Z,34,200,150,120,200
AL142012,46,2012-09-24T03:00:00Z,50,40,0,0,40
AL142012,47,2012-09-24T09:00:00Z,34,200,150,100,200
AL142012,48,2012-09-24T15:00:00Z,34,150,140,90,180
AL142012,49,2012-09-24T21:00:00Z,34,150,120,90,160
AL142012,50,2012-09-25T03:00:00Z,34,150,90,90,160
AL142012,51,2012-09-25T09:00:00Z,34,150,70,100,170
AL142012,52,2012-09-25T15:00:00Z,34,150,70,100,170
AL142012,53,2012-09-25T21:00:00Z,34,150,70,100,170
AL142012,54,2012-09-26T03:00:00Z,34,100,100,100,160
AL142012,55,2012-09-26T09:00:00Z,34,100,90,100,100
AL142012,56,2012-09-26T15:00:00Z,34,100,90,100,100
AL142012,57,2012-09-26T21:00:00Z,34,100,90,100,100
AL142012,58,2012-09-27T03:00:00Z,34,110,60,80,120
AL142012,59,2012-09-27T09:00:00Z,34,110,60,80,120
AL142012,59,2012-09-27T09:00:00Z,50,50,0,0,50
AL142012,60,2012-09-27T15:00:00Z,34,110,60,80,120
AL142012,60,2012-09-27T15:00:00Z,50,50,0,0,50
AL142012,61,2012-09-27T21:00:00Z,34,120,80,80,120
AL142012,61,2012-09-27T21:00:00Z,50,50,0,0,50
AL142012,62,2012-09-28T03:00:00Z,34,120,80,80,120
AL142012,62,2012-09-28T03:00:00Z,50,50,0,0,50
AL142012,63,2012-09-28T09:00:00Z,34,120,80,80,120
AL142012,63,2012-09-28T09:00:00Z,50,50,30,30,50
AL142012,64,2012-09-28T15:00:00Z,34,120,70,70,90
AL142012,64,2012-09-28T15:00:00Z,50,40,30,30,30
AL142012,64,2012-09-28T15:00:00Z,64,25,0,0,0
AL142012,65,2012-09-28T21:00:00Z,34,120,70,70,90
AL142012,65,2012-09-28T21:00:00Z,50,40,30,30,30
AL142012,65,2012-09-28T21:00:00Z,64,25,0,0,0
AL142012,66,2012-09-29T03:00:00Z,34,120,70,70,90
AL142012,66,2012-09-29T03:00:00Z,50,40,30,30,30
AL142012,66,2012-09-29T03:00:00Z,64,25,0,0,0
AL142012,67,2012-09-29T09:00:00Z,34,100,70,60,80
