Status,Name,Adv,Date,Location,A,B,C,D,E
Tropical Storm,Alex,11,1998-07-30T03:00:00Z,ST CROIX VI,0,0,0,2,2
Tropical Storm,Alex,11,1998-07-30T03:00:00Z,TFFF 146N 610W,0,0,0,7,7
Tropical Storm,Alex,11,1998-07-30T03:00:00Z,ST THOMAS VI,0,0,0,2,2
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,15.3N  49.5W,42,1,0,0,43
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TFFR 163N 615W,0,0,0,11,11
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,16.0N  52.0W,0,27,1,0,28
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TAPA 171N 618W,0,0,0,11,11
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,16.8N  54.5W,0,3,17,2,22
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TKPK 173N 627W,0,0,0,9,9
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TTPP 106N 614W,0,0,0,3,3
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TNCM 181N 631W,0,0,0,9,9
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TTPT 112N 608W,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TISX 177N 648W,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TGPY 120N 618W,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TIST 183N 650W,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TBPB 131N 595W,0,0,0,10,10
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TJSJ 184N 661W,0,0,0,2,2
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TVSV 131N 612W,0,0,0,7,7
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,ST CROIX VI,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TLPL 138N 610W,0,0,0,9,9
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,ST THOMAS VI,0,0,0,4,4
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TFFF 146N 610W,0,0,0,10,10
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,SAN JUAN PR,0,0,0,2,2
Tropical Storm,Alex,12,1998-07-30T09:00:00Z,TDPR 153N 614W,0,0,0,10,10
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,15.8N  50.8W,55,0,0,0,55
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TKPK 173N 627W,0,0,0,12,12
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,16.5N  53.5W,1,32,0,0,33
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TNCM 181N 631W,0,0,0,12,12
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,17.0N  56.0W,0,10,13,1,24
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TISX 177N 648W,0,0,0,7,7
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TBPB 131N 595W,0,0,1,4,5
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TIST 183N 650W,0,0,0,7,7
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TVSV 131N 612W,0,0,0,3,3
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TJPS 180N 666W,0,0,0,3,3
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TLPL 138N 610W,0,0,1,4,5
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TJSJ 184N 661W,0,0,0,4,4
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TFFF 146N 610W,0,0,1,7,8
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,ST CROIX VI,0,0,0,7,7
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TDPR 153N 614W,0,0,1,8,9
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,ST THOMAS VI,0,0,0,7,7
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TFFR 163N 615W,0,0,1,11,12
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,SAN JUAN PR,0,0,0,4,4
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,TAPA 171N 618W,0,0,1,12,13
Tropical Storm,Alex,13,1998-07-30T15:00:00Z,PONCE PR,0,0,0,3,3
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,16.2N  51.5W,54,0,0,0,54
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TNCM 181N 631W,0,0,0,11,11
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,17.0N  54.0W,1,31,0,0,32
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TISX 177N 648W,0,0,0,6,6
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,18.0N  56.0W,0,13,10,1,24
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TIST 183N 650W,0,0,0,7,7
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TBPB 131N 595W,0,0,0,2,2
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TJPS 180N 666W,0,0,0,3,3
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TLPL 138N 610W,0,0,0,2,2
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TJSJ 184N 661W,0,0,0,4,4
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TFFF 146N 610W,0,0,1,4,5
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,ST CROIX VI,0,0,0,6,6
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TDPR 153N 614W,0,0,1,6,7
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,ST THOMAS VI,0,0,0,7,7
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TFFR 163N 615W,0,0,1,9,10
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,SAN JUAN PR,0,0,0,4,4
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TAPA 171N 618W,0,0,1,11,12
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,PONCE PR,0,0,0,3,3
Tropical Storm,Alex,14,1998-07-30T21:00:00Z,TKPK 173N 627W,0,0,0,10,10
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,17.3N  51.7W,54,0,0,0,54
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TNCM 181N 631W,0,0,0,6,6
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,18.4N  53.9W,3,29,0,0,32
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TISX 177N 648W,0,0,0,2,2
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,19.7N  56.3W,0,10,13,1,24
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TIST 183N 650W,0,0,0,2,2
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TFFR 163N 615W,0,0,1,3,4
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,ST CROIX VI,0,0,0,2,2
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TAPA 171N 618W,0,0,1,4,5
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,ST THOMAS VI,0,0,0,2,2
Tropical Storm,Alex,15,1998-07-31T03:00:00Z,TKPK 173N 627W,0,0,0,4,4
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,17.5N  52.6W,43,0,0,0,43
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TNCM 181N 631W,0,0,1,6,7
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,19.0N  54.8W,11,18,1,0,30
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TISX 177N 648W,0,0,0,3,3
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,20.5N  57.0W,0,13,9,1,23
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TIST 183N 650W,0,0,0,4,4
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TFFF 146N 610W,0,0,1,1,2
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TJSJ 184N 661W,0,0,0,2,2
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TDPR 153N 614W,0,0,1,2,3
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,ST CROIX VI,0,0,0,3,3
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TFFR 163N 615W,0,0,1,5,6
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,ST THOMAS VI,0,0,0,4,4
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TAPA 171N 618W,0,0,2,5,7
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,SAN JUAN PR,0,0,0,2,2
Tropical Storm,Alex,16,1998-07-31T09:00:00Z,TKPK 173N 627W,0,0,1,5,6
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,16.5N  53.5W,53,0,0,0,53
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TISX 177N 648W,0,0,0,4,4
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,17.5N  55.5W,4,27,0,1,32
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TIST 183N 650W,0,0,0,5,5
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,19.0N  57.5W,0,10,13,1,24
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TJPS 180N 666W,0,0,0,2,2
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TFFF 146N 610W,0,0,1,1,2
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TJSJ 184N 661W,0,0,0,3,3
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TDPR 153N 614W,0,0,1,3,4
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,ST CROIX VI,0,0,0,4,4
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TFFR 163N 615W,0,0,3,4,7
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,ST THOMAS VI,0,0,0,5,5
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TAPA 171N 618W,0,0,3,6,9
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,SAN JUAN PR,0,0,0,3,3
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TKPK 173N 627W,0,0,1,7,8
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,PONCE PR,0,0,0,2,2
Tropical Storm,Alex,17,1998-07-31T15:00:00Z,TNCM 181N 631W,0,0,1,8,9
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,17.0N  55.0W,56,0,0,1,57
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TISX 177N 648W,0,0,0,4,4
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,19.5N  57.0W,2,35,0,0,37
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TIST 183N 650W,0,0,0,5,5
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,20.5N  59.0W,0,15,10,0,25
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TJPS 180N 666W,0,0,0,2,2
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TDPR 153N 614W,0,0,1,1,2
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TJSJ 184N 661W,0,0,0,3,3
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TFFR 163N 615W,0,0,3,2,5
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,ST CROIX VI,0,0,0,4,4
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TAPA 171N 618W,0,0,5,3,8
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,ST THOMAS VI,0,0,0,5,5
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TKPK 173N 627W,0,0,2,5,7
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,SAN JUAN PR,0,0,0,3,3
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,TNCM 181N 631W,0,0,3,6,9
Tropical Storm,Alex,18,1998-07-31T21:00:00Z,PONCE PR,0,0,0,2,2
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,16.9N  56.6W,56,0,0,0,56
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TIST 183N 650W,0,0,9,7,16
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,17.9N  59.4W,1,32,1,0,34
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TJPS 180N 666W,0,0,2,9,11
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,19.2N  61.6W,0,11,12,1,24
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,MDSD 185N 697W,0,0,0,5,5
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TLPL 138N 610W,0,1,2,0,3
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TJSJ 184N 661W,0,0,4,9,13
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TFFF 146N 610W,0,4,4,0,8
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,MDPP 198N 707W,0,0,0,5,5
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TDPR 153N 614W,0,7,5,0,12
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,MBJT 215N 712W,0,0,0,5,5
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TFFR 163N 615W,0,12,6,0,18
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,ST CROIX VI,0,0,9,5,14
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TAPA 171N 618W,0,12,8,1,21
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,ST THOMAS VI,0,0,9,7,16
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TKPK 173N 627W,0,5,12,2,19
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,SAN JUAN PR,0,0,4,9,13
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TNCM 181N 631W,0,3,15,2,20
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,PONCE PR,0,0,2,9,11
Tropical Storm,Alex,19,1998-08-01T03:00:00Z,TISX 177N 648W,0,0,9,5,14
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,17.2N  58.1W,56,0,0,0,56
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TIST 183N 650W,0,1,11,3,15
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,18.4N  60.5W,1,32,0,0,33
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TJPS 180N 666W,0,0,4,5,9
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,20.0N  62.5W,0,9,14,1,24
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,MDSD 185N 697W,0,0,0,3,3
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TLPL 138N 610W,0,1,1,0,2
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TJSJ 184N 661W,0,0,6,6,12
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TFFF 146N 610W,0,4,2,0,6
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,MDPP 198N 707W,0,0,0,4,4
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TDPR 153N 614W,0,8,3,0,11
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,MBJT 215N 712W,0,0,0,5,5
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TFFR 163N 615W,0,17,2,0,19
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,MYMM 224N 730W,0,0,0,2,2
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TAPA 171N 618W,0,20,3,0,23
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,ST CROIX VI,0,1,10,3,14
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TKPK 173N 627W,0,12,7,1,20
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,ST THOMAS VI,0,1,11,3,15
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TNCM 181N 631W,0,10,11,0,21
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,SAN JUAN PR,0,0,6,6,12
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,TISX 177N 648W,0,1,10,3,14
Tropical Storm,Alex,20,1998-08-01T09:00:00Z,PONCE PR,0,0,4,5,9
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,19.0N  59.5W,54,0,0,1,55
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TJSJ 184N 661W,0,0,7,3,10
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,20.0N  61.5W,5,27,1,0,33
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MDPP 198N 707W,0,0,0,6,6
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,21.5N  63.5W,0,12,11,1,24
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MBJT 215N 712W,0,0,0,10,10
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TFFR 163N 615W,1,5,1,0,7
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MYMM 224N 730W,0,0,0,7,7
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TAPA 171N 618W,1,12,1,0,14
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MYSM 241N 745W,0,0,0,4,4
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TKPK 173N 627W,0,10,2,1,13
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MYEG 235N 758W,0,0,0,2,2
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TNCM 181N 631W,0,14,3,1,18
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,ST CROIX VI,0,2,6,2,10
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TISX 177N 648W,0,2,6,2,10
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,ST THOMAS VI,0,3,8,1,12
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TIST 183N 650W,0,3,8,1,12
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,SAN JUAN PR,0,0,7,3,10
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,TJPS 180N 666W,0,0,4,3,7
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,PONCE PR,0,0,4,3,7
Tropical Storm,Alex,21,1998-08-01T15:00:00Z,MDSD 185N 697W,0,0,0,4,4
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,21.0N  60.5W,49,0,0,0,49
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MBJT 215N 712W,0,0,1,7,8
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,22.5N  63.5W,4,27,0,0,31
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MYMM 224N 730W,0,0,0,7,7
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,24.0N  66.0W,0,13,9,1,23
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MYSM 241N 745W,0,0,0,7,7
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TKPK 173N 627W,0,1,1,0,2
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MYEG 235N 758W,0,0,0,4,4
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TNCM 181N 631W,0,4,2,0,6
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MYAK 241N 776W,0,0,0,2,2
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TISX 177N 648W,0,1,2,1,4
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MYNN 251N 775W,0,0,0,2,2
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TIST 183N 650W,0,2,3,1,6
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,BERMUDA,0,0,0,3,3
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TJPS 180N 666W,0,0,3,1,4
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,ST CROIX VI,0,1,2,1,4
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MDSD 185N 697W,0,0,1,2,3
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,ST THOMAS VI,0,2,3,1,6
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,TJSJ 184N 661W,0,1,4,1,6
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,SAN JUAN PR,0,1,4,1,6
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,MDPP 198N 707W,0,0,1,4,5
Tropical Storm,Alex,22,1998-08-01T21:00:00Z,PONCE PR,0,0,3,1,4
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,21.7N  61.9W,50,0,0,0,50
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,MBJT 215N 712W,0,0,1,2,3
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,23.6N  64.2W,10,22,0,1,33
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,MYMM 224N 730W,0,0,0,2,2
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,25.5N  66.3W,0,13,11,1,25
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,MYSM 241N 745W,0,0,0,2,2
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,TNCM 181N 631W,1,1,0,0,2
Tropical Storm,Alex,23,1998-08-02T03:00:00Z,BERMUDA,0,0,0,6,6
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,22.7N  62.2W,50,0,0,0,50
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,MYMM 224N 730W,0,0,0,2,2
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,24.5N  64.0W,20,9,1,0,30
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,MYSM 241N 745W,0,0,0,2,2
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,26.5N  65.5W,1,16,4,1,22
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,BERMUDA,0,0,3,9,12
Tropical Storm,Alex,25,1998-08-02T15:00:00Z,MBJT 215N 712W,0,0,1,1,2
Tropical Depression,Two,1,1998-08-19T21:00:00Z,17.8N  56.7W,58,1,0,0,59
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MTPP 186N 724W,0,0,0,8,8
Tropical Depression,Two,1,1998-08-19T21:00:00Z,18.5N  60.0W,0,36,1,0,37
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MTCA 183N 738W,0,0,0,4,4
Tropical Depression,Two,1,1998-08-19T21:00:00Z,20.0N  63.5W,0,2,25,0,27
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MUGM 200N 751W,0,0,0,4,4
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TFFF 146N 610W,0,3,2,0,5
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TJSJ 184N 661W,0,0,11,7,18
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TDPR 153N 614W,0,5,5,0,10
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MDPP 198N 707W,0,0,0,15,15
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TFFR 163N 615W,0,12,7,0,19
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MBJT 215N 712W,0,0,0,16,16
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TAPA 171N 618W,0,15,9,1,25
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MYMM 224N 730W,0,0,0,12,12
Tropical Depression,Two,1,1998-08-19T21:00:00Z,TKPK 173N 627W,0,7,15,0,22
Tropical Depression,Two,1,1998-08-19T21:00:00Z,MYSM 241N 745W,0,0,0,7,7
