Key,Name,Wind,StartDate,EndDate
AL082008,Hanna,70,2008-08-28T09:00:00Z,2008-09-07T09:00:00Z
AL082009,Eight,30,2009-09-25T21:00:00Z,2009-09-26T21:00:00Z
AL082010,Fiona,50,2010-08-30T21:00:00Z,2010-09-04T03:00:00Z
AL082011,Harvey,50,2011-08-19T03:00:00Z,2011-08-22T15:00:00Z
AL082012,Gordon,95,2012-08-15T21:00:00Z,2012-08-20T21:00:00Z
AL082013,Eight,30,2013-09-06T18:30:00Z,2013-09-07T09:00:00Z
AL082014,Gonzalo,125,2014-10-12T17:30:00Z,2014-10-19T21:00:00Z
AL082015,Henri,35,2015-09-09T04:30:00Z,2015-09-11T21:00:00Z
AL082016,Eight,30,2016-08-28T15:00:00Z,2016-09-01T09:00:00Z
AL091998,Ivan,80,1998-09-20T15:00:00Z,1998-09-27T03:00:00Z
AL091999,Gert,130,1999-09-11T15:00:00Z,1999-09-23T15:00:00Z
AL092000,Nine,NA,2000-09-09T00:00:00Z,2000-09-09T09:00:00Z
AL092001,Nine,30,2001-09-19T21:00:00Z,2001-09-20T03:00:00Z
AL092002,Hanna,45,2002-09-12T03:00:00Z,2002-09-14T21:00:00Z
AL092003,Nine,30,2003-08-21T21:00:00Z,2003-08-22T21:00:00Z
AL092004,Ivan,145,2004-09-02T21:00:00Z,2004-09-24T09:00:00Z
AL092005,Irene,85,2005-08-04T21:00:00Z,2005-08-18T15:00:00Z
AL092006,Isaac,75,2006-09-27T21:00:00Z,2006-10-02T21:00:00Z
AL092007,Humberto,75,2007-09-12T15:00:00Z,2007-09-13T21:00:00Z
AL092008,Ike,125,2008-09-01T15:00:00Z,2008-09-14T09:00:00Z
AL092009,Grace,60,2009-10-05T03:00:00Z,2009-10-06T03:00:00Z
AL092010,Gaston,35,2010-09-01T15:00:00Z,2010-09-02T21:00:00Z
AL092011,Irene,105,2011-08-20T23:00:00Z,2011-08-29T03:00:00Z
AL092012,Isaac,70,2012-08-21T09:00:00Z,2012-08-30T21:00:00Z
AL092013,Humberto,75,2013-09-08T21:00:00Z,2013-09-19T21:00:00Z
AL092014,Hanna,35,2014-10-22T03:00:00Z,2014-10-28T03:00:00Z
AL092015,Nine,30,2015-09-16T15:00:00Z,2015-09-19T21:00:00Z
AL092016,Hermine,70,2016-08-28T21:00:00Z,2016-09-06T18:00:00Z
AL101998,Jeanne,90,1998-09-21T21:00:00Z,1998-10-01T03:00:00Z
AL101999,Harvey,50,1999-09-19T10:00:00Z,1999-09-22T03:00:00Z
